Entity,Code,Year,Fossil fuels
Africa,OWID_AFR,1965,97.97244
Africa,OWID_AFR,1966,97.83532
Africa,OWID_AFR,1967,97.76048
Africa,OWID_AFR,1968,97.50895
Africa,OWID_AFR,1969,97.152214
Africa,OWID_AFR,1970,96.69325
Africa,OWID_AFR,1971,97.0458
Africa,OWID_AFR,1972,96.813835
Africa,OWID_AFR,1973,96.897865
Africa,OWID_AFR,1974,96.62892
Africa,OWID_AFR,1975,96.6397
Africa,OWID_AFR,1976,96.56246
Africa,OWID_AFR,1977,96.41341
Africa,OWID_AFR,1978,96.525536
Africa,OWID_AFR,1979,96.59294
Africa,OWID_AFR,1980,96.928734
Africa,OWID_AFR,1981,97.17192
Africa,OWID_AFR,1982,97.354095
Africa,OWID_AFR,1983,97.69878
Africa,OWID_AFR,1984,97.22739
Africa,OWID_AFR,1985,96.89417
Africa,OWID_AFR,1986,96.22934
Africa,OWID_AFR,1987,96.811615
Africa,OWID_AFR,1988,96.303055
Africa,OWID_AFR,1989,96.11761
Africa,OWID_AFR,1990,96.50434
Africa,OWID_AFR,1991,96.27437
Africa,OWID_AFR,1992,96.42708
Africa,OWID_AFR,1993,96.7133
Africa,OWID_AFR,1994,96.52605
Africa,OWID_AFR,1995,96.35385
Africa,OWID_AFR,1996,96.27401
Africa,OWID_AFR,1997,96.19646
Africa,OWID_AFR,1998,96.00343
Africa,OWID_AFR,1999,96.064766
Africa,OWID_AFR,2000,95.90997
Africa,OWID_AFR,2001,96.07128
Africa,OWID_AFR,2002,95.8675
Africa,OWID_AFR,2003,95.89326
Africa,OWID_AFR,2004,95.927826
Africa,OWID_AFR,2005,96.16179
Africa,OWID_AFR,2006,96.19555
Africa,OWID_AFR,2007,96.20106
Africa,OWID_AFR,2008,96.18559
Africa,OWID_AFR,2009,96.044914
Africa,OWID_AFR,2010,95.89861
Africa,OWID_AFR,2011,95.900024
Africa,OWID_AFR,2012,96.092445
Africa,OWID_AFR,2013,95.924965
Africa,OWID_AFR,2014,95.61551
Africa,OWID_AFR,2015,95.47655
Africa,OWID_AFR,2016,95.314
Africa,OWID_AFR,2017,95.17192
Africa,OWID_AFR,2018,95.19996
Africa,OWID_AFR,2019,94.96341
Africa,OWID_AFR,2020,94.54563
Africa,OWID_AFR,2021,94.70975
Africa,OWID_AFR,2022,94.61751
Africa,OWID_AFR,2023,94.39493
