Entity,Code,Year,Coal production,Oil production,Gas production
Africa,OWID_AFR,1965,,1235.101,
Africa,OWID_AFR,1966,,1571.8269,
Africa,OWID_AFR,1967,,1729.137,
Africa,OWID_AFR,1968,,2216.126,
Africa,OWID_AFR,1969,,2818.2944,
Africa,OWID_AFR,1970,,3399.6292,30.07551
Africa,OWID_AFR,1971,,3181.0298,37.022903
Africa,OWID_AFR,1972,,3194.1733,65.13485
Africa,OWID_AFR,1973,,3346.9214,98.32215
Africa,OWID_AFR,1974,,3085.5674,102.605
Africa,OWID_AFR,1975,,2831.0925,115.33115
Africa,OWID_AFR,1976,,3377.11,137.28214
Africa,OWID_AFR,1977,,3541.0354,139.97685
Africa,OWID_AFR,1978,,3456.5452,186.69028
Africa,OWID_AFR,1979,,3800.2239,283.32996
Africa,OWID_AFR,1980,,3492.487,248.30338
Africa,OWID_AFR,1981,909.9034,2773.1401,264.74805
Africa,OWID_AFR,1982,998.71216,2666.0615,325.1129
Africa,OWID_AFR,1983,1011.8728,2702.3513,436.95685
Africa,OWID_AFR,1984,1128.4529,2885.7793,458.6507
Africa,OWID_AFR,1985,1198.9108,3000.331,505.6782
Africa,OWID_AFR,1986,1229.4912,2991.7114,530.1431
Africa,OWID_AFR,1987,1230.7749,2997.6375,578.9782
Africa,OWID_AFR,1988,1264.9315,3124.9639,617.5323
Africa,OWID_AFR,1989,1228.4504,3449.0317,677.40796
Africa,OWID_AFR,1990,1221.226,3696.372,721.5906
Africa,OWID_AFR,1991,1245.4105,3834.5972,773.4517
Africa,OWID_AFR,1992,1273.735,3907.2974,808.2828
Africa,OWID_AFR,1993,1297.0951,3856.3594,833.40674
Africa,OWID_AFR,1994,1348.1089,3848.5923,789.64624
Africa,OWID_AFR,1995,1416.6951,3910.9531,872.7052
Africa,OWID_AFR,1996,1412.351,4037.5745,933.325
Africa,OWID_AFR,1997,1502.2733,4131.454,1041.611
Africa,OWID_AFR,1998,1522.4474,4145.346,1109.3164
Africa,OWID_AFR,1999,1519.8279,4028.149,1216.7258
Africa,OWID_AFR,2000,1518.354,4319.322,1351.0123
Africa,OWID_AFR,2001,1414.8053,4275.9756,1388.4131
Africa,OWID_AFR,2002,1397.1062,4304.742,1449.3188
Africa,OWID_AFR,2003,1494.5215,4681.981,1556.1813
Africa,OWID_AFR,2004,1536.9963,5210.7056,1635.7334
Africa,OWID_AFR,2005,1646.2493,5401.9175,1700.5918
Africa,OWID_AFR,2006,1635.4047,5488.3853,1841.4417
Africa,OWID_AFR,2007,1653.6631,5605.5054,1956.7667
Africa,OWID_AFR,2008,1682.2019,5664.0703,2028.5223
Africa,OWID_AFR,2009,1664.4828,5446.1265,1912.9755
Africa,OWID_AFR,2010,1725.5802,5628.514,1854.9294
Africa,OWID_AFR,2011,1685.0098,4715.9775,1930.9075
Africa,OWID_AFR,2012,1769.7893,5110.917,2103.217
Africa,OWID_AFR,2013,1773.6799,4747.6934,2029.7034
Africa,OWID_AFR,2014,1832.9509,4531.725,2034.369
Africa,OWID_AFR,2015,1758.3575,4481.6978,2076.8125
Africa,OWID_AFR,2016,1762.886,4230.382,2148.504
Africa,OWID_AFR,2017,1800.9305,4464.1685,2356.0623
Africa,OWID_AFR,2018,1864.1843,4548.0557,2503.7246
Africa,OWID_AFR,2019,1827.1305,4599.61,2548.396
Africa,OWID_AFR,2020,1731.0869,3882.5833,2389.5615
Africa,OWID_AFR,2021,1690.3275,4038.8652,2634.8792
Africa,OWID_AFR,2022,1713.9115,3862.4673,2534.2969
Africa,OWID_AFR,2023,1752.3147,3991.0828,2498.2817
Africa,OWID_AFR,2024,1790.8204,4015.6895,2421.153
Africa,OWID_AFR,2025,1823.0548,4172.367,2405.564
Africa (EI),,1965,,1235.101,
Africa (EI),,1966,,1571.8269,
Africa (EI),,1967,,1729.137,
Africa (EI),,1968,,2216.126,
Africa (EI),,1969,,2818.2944,
Africa (EI),,1970,,3399.6292,30.07551
Africa (EI),,1971,,3181.0298,37.022903
Africa (EI),,1972,,3194.1733,65.13485
Africa (EI),,1973,,3346.9214,98.32215
Africa (EI),,1974,,3085.5674,102.605
Africa (EI),,1975,,2831.0925,115.33115
Africa (EI),,1976,,3377.11,137.28214
Africa (EI),,1977,,3541.0354,139.97685
Africa (EI),,1978,,3456.5452,186.69028
Africa (EI),,1979,,3800.2239,283.32996
Africa (EI),,1980,,3492.487,248.30338
Africa (EI),,1981,909.9034,2773.1401,264.74805
Africa (EI),,1982,998.71216,2666.0615,325.1129
Africa (EI),,1983,1011.8728,2702.3513,436.95685
Africa (EI),,1984,1128.4529,2885.7793,458.6507
Africa (EI),,1985,1198.9108,3000.331,505.6782
Africa (EI),,1986,1229.4912,2991.7114,530.1431
Africa (EI),,1987,1230.7749,2997.6375,578.9782
Africa (EI),,1988,1264.9315,3124.9639,617.5323
Africa (EI),,1989,1228.4504,3449.0317,677.40796
Africa (EI),,1990,1221.226,3696.372,721.5906
Africa (EI),,1991,1245.4105,3834.5972,773.4517
Africa (EI),,1992,1273.735,3907.2974,808.2828
Africa (EI),,1993,1297.0951,3856.3594,833.40674
Africa (EI),,1994,1348.1089,3848.5923,789.64624
Africa (EI),,1995,1416.6951,3910.9531,872.7052
Africa (EI),,1996,1412.351,4037.5745,933.325
Africa (EI),,1997,1502.2733,4131.454,1041.611
Africa (EI),,1998,1522.4474,4145.346,1109.3164
Africa (EI),,1999,1519.8279,4028.149,1216.7258
Africa (EI),,2000,1518.354,4319.322,1351.0123
Africa (EI),,2001,1414.8053,4275.9756,1388.4131
Africa (EI),,2002,1397.1062,4304.742,1449.3188
Africa (EI),,2003,1494.5215,4681.981,1556.1813
Africa (EI),,2004,1536.9963,5210.7056,1635.7334
Africa (EI),,2005,1646.2493,5401.9175,1700.5918
Africa (EI),,2006,1635.4047,5488.3853,1841.4417
Africa (EI),,2007,1653.6631,5605.5054,1956.7667
Africa (EI),,2008,1682.2019,5664.0703,2028.5223
Africa (EI),,2009,1664.4828,5446.1265,1912.9755
Africa (EI),,2010,1725.5802,5628.514,1854.9294
Africa (EI),,2011,1685.0098,4715.9775,1930.9075
Africa (EI),,2012,1769.7893,5110.917,2103.217
Africa (EI),,2013,1773.6799,4747.6934,2029.7034
Africa (EI),,2014,1832.9509,4531.725,2034.369
Africa (EI),,2015,1758.3575,4481.6978,2076.8125
Africa (EI),,2016,1762.886,4230.382,2148.504
Africa (EI),,2017,1800.9305,4464.1685,2356.0623
Africa (EI),,2018,1864.1843,4548.0557,2503.7246
Africa (EI),,2019,1827.1305,4599.61,2548.396
Africa (EI),,2020,1731.0869,3882.5833,2389.5615
Africa (EI),,2021,1690.3275,4038.8652,2634.8792
Africa (EI),,2022,1713.9115,3862.4673,2534.2969
Africa (EI),,2023,1752.3147,3991.0828,2498.2817
Africa (EI),,2024,1790.8204,4015.6895,2421.153
Africa (EI),,2025,1823.0548,4172.367,2405.564
Algeria,DZA,1965,,304.0002,
Algeria,DZA,1966,,391.262,
Algeria,DZA,1967,,449.44415,
Algeria,DZA,1968,,493.38818,
Algeria,DZA,1969,,516.78827,
Algeria,DZA,1970,,561.8859,24.380125
Algeria,DZA,1971,,427.9568,25.69875
Algeria,DZA,1972,,578.319,32.561375
Algeria,DZA,1973,,601.25507,43.216248
Algeria,DZA,1974,,556.3107,49.963375
Algeria,DZA,1975,,544.32935,61.523
Algeria,DZA,1976,,607.42487,77.490875
Algeria,DZA,1977,,648.445,74.165436
Algeria,DZA,1978,,662.15814,115.01875
Algeria,DZA,1979,,675.54517,188.53452
Algeria,DZA,1980,,599.4387,154.09749
Algeria,DZA,1981,,534.1274,178.64844
Algeria,DZA,1982,,531.3829,233.10008
Algeria,DZA,1983,,522.8083,333.79263
