country,iso3,Year,coal_production_twh,oil_production_twh,gas_production_twh,total_production_twh
Algeria,DZA,1965,,304.0002,,304.0002
Algeria,DZA,1966,,391.262,,391.262
Algeria,DZA,1967,,449.44415,,449.44415
Algeria,DZA,1968,,493.38818,,493.38818
Algeria,DZA,1969,,516.78827,,516.78827
Algeria,DZA,1970,,561.8859,24.380125,586.266025
Algeria,DZA,1971,,427.9568,25.69875,453.65555
Algeria,DZA,1972,,578.319,32.561375,610.880375
Algeria,DZA,1973,,601.25507,43.216248,644.471318
Algeria,DZA,1974,,556.3107,49.963375,606.274075
Algeria,DZA,1975,,544.32935,61.523,605.85235
Algeria,DZA,1976,,607.42487,77.490875,684.915745
Algeria,DZA,1977,,648.445,74.165436,722.610436
Algeria,DZA,1978,,662.15814,115.01875,777.17689
Algeria,DZA,1979,,675.54517,188.53452,864.07969
Algeria,DZA,1980,,599.4387,154.09749,753.53619
Algeria,DZA,1981,,534.1274,178.64844,712.77584
Algeria,DZA,1982,,531.3829,233.10008,764.48298
Algeria,DZA,1983,,522.8083,333.79263,856.6009300000001
Algeria,DZA,1984,,567.38074,339.75882,907.13956
Algeria,DZA,1985,,547.31964,373.38113,920.70077
Algeria,DZA,1986,,563.81366,381.89432,945.70798
Algeria,DZA,1987,,583.7999,431.0078,1014.8077
Algeria,DZA,1988,,611.4504,450.5811,1062.0315
Algeria,DZA,1989,,633.65845,485.83163,1119.49008
Algeria,DZA,1990,,678.6744,516.5697,1195.2441
Algeria,DZA,1991,,682.6081,557.0305,1239.6386
Algeria,DZA,1992,,657.1114,580.01135,1237.12275
Algeria,DZA,1993,,655.03894,587.4662,1242.50514
Algeria,DZA,1994,,652.1087,540.1088,1192.2175
Algeria,DZA,1995,,649.08484,614.91296,1263.9978
Algeria,DZA,1996,,686.3133,652.51276,1338.8260599999999
Algeria,DZA,1997,,716.0245,748.5882,1464.6127000000001
Algeria,DZA,1998,,713.91675,801.62103,1515.53778
Algeria,DZA,1999,,680.686,901.0691,1581.7551
Algeria,DZA,2000,,776.73285,918.88635,1695.6192
Algeria,DZA,2001,,764.68414,864.7254,1629.40954
Algeria,DZA,2002,,824.4972,889.4159,1713.9131
Algeria,DZA,2003,,918.8281,938.57587,1857.4039699999998
Algeria,DZA,2004,,971.6982,920.5494,1892.2476000000001
Algeria,DZA,2005,,1005.2701,849.1175,1854.3876
Algeria,DZA,2006,,1002.5293,812.99493,1815.52423
Algeria,DZA,2007,,1005.7857,816.45984,1822.24554
Algeria,DZA,2008,,985.7705,826.0079,1811.7784
Algeria,DZA,2009,,898.23145,765.66876,1663.90021
Algeria,DZA,2010,,858.0033,773.9655,1631.9688
Algeria,DZA,2011,,833.58026,795.9875,1629.56776
Algeria,DZA,2012,,781.67554,784.4375,1566.11304
Algeria,DZA,2013,,753.43787,793.38873,1546.8265999999999
Algeria,DZA,2014,,799.80676,801.724,1601.53076
Algeria,DZA,2015,,781.8267,814.1114,1595.9380999999998
Algeria,DZA,2016,,795.6897,913.92267,1709.61237
Algeria,DZA,2017,,775.1163,929.7654,1704.8817
Algeria,DZA,2018,,759.81116,938.4375,1698.24866
Algeria,DZA,2019,,748.1579,869.5225,1617.6804000000002
Algeria,DZA,2020,,670.1788,814.24615,1484.42495
Algeria,DZA,2021,,676.866,1010.98114,1687.8471399999999
Algeria,DZA,2022,,721.8276,976.3215,1698.1491
Algeria,DZA,2023,,732.75977,1015.2643,1748.02407
Algeria,DZA,2024,,739.15625,1001.924,1741.08025
Algeria,DZA,2025,,760.7269,980.20996,1740.93686
Angola,AGO,1965,,7.6176496,,7.6176496
Angola,AGO,1966,,7.3385296,,7.3385296
Angola,AGO,1967,,6.24531,,6.24531
Angola,AGO,1968,,8.7225,,8.7225
Angola,AGO,1969,,28.58654,,28.58654
Angola,AGO,1970,,58.905952,,58.905952
Angola,AGO,1971,,66.53523,,66.53523
Angola,AGO,1972,,82.072914,,82.072914
Angola,AGO,1973,,95.07525,,95.07525
Angola,AGO,1974,,99.33183,,99.33183
Angola,AGO,1975,,90.60933,,90.60933
Angola,AGO,1976,,87.96932,,87.96932
Angola,AGO,1977,,82.13106,,82.13106
Angola,AGO,1978,,75.23447,,75.23447
Angola,AGO,1979,,83.736,,83.736
Angola,AGO,1980,,86.38764,,86.38764
Angola,AGO,1981,,83.24754,,83.24754
Angola,AGO,1982,,74.5483,,74.5483
Angola,AGO,1983,,102.2277,,102.2277
Angola,AGO,1984,,117.16062,,117.16062
Angola,AGO,1985,,133.18675,,133.18675
Angola,AGO,1986,,161.95938,,161.95938
Angola,AGO,1987,,203.59479,,203.59479
Angola,AGO,1988,,259.5816,,259.5816
