iso3,country,top_producer,speeches,total_mentions,share_mentioning,mentions_per_1k,first_year,last_year,fossil_share_first,fossil_share_last,fossil_share_mean,fossil_trend_pp_per_year,fossil_share_change
ARE,United Arab Emirates,True,11,9,0.6363636363636364,0.4402915531327208,2015,2025,99.97541,90.47492,96.61350945454545,-1.1255253545454544,-9.50049
ARG,Argentina,False,11,8,0.45454545454545453,0.3874758129589866,2015,2025,91.97601,88.010315,90.51640081818182,-0.3916677727272725,-3.9656949999999966
AUS,Australia,True,11,27,0.6363636363636364,1.033658293627349,2015,2025,97.05623,92.11152,94.91542227272727,-0.5289302727272734,-4.944710000000001
AUT,Austria,False,11,1,0.09090909090909091,0.06709158000670916,2015,2025,80.67245,75.32314,78.40230781818182,-0.6456978454545454,-5.349310000000003
AZE,Azerbaijan,False,11,20,0.45454545454545453,0.6893138466273534,2015,2025,98.8628,98.00593,98.75072681818182,-0.04635009090908992,-0.8568699999999865
BEL,Belgium,False,11,16,0.36363636363636365,0.8523157679861616,2015,2025,83.519455,80.999146,78.25854909090909,-0.2823882818181814,-2.5203089999999975
BGD,Bangladesh,False,11,2,0.18181818181818182,0.048270222033396926,2015,2025,99.67125,99.53809,99.66680772727273,-0.010465727272726998,-0.13316000000000372
BGR,Bulgaria,False,11,3,0.18181818181818182,0.1673782224274126,2015,2025,73.47727,66.46689,69.640698,-0.775931218181818,-7.010379999999998
BLR,Belarus,False,11,1,0.09090909090909091,0.03992494111071187,2015,2025,99.74877,82.78912,94.60107381818183,-1.7996919454545455,-16.959649999999996
BRA,Brazil,True,11,25,0.7272727272727273,1.0990276829223729,2015,2025,72.34254,62.31557,66.77509981818183,-0.9310215454545455,-10.026969999999999
CAN,Canada,False,11,4,0.36363636363636365,0.19545097933045555,2015,2025,77.139755,78.05161,77.02612309090908,0.10633148181818178,0.9118550000000027
CHE,Switzerland,False,11,2,0.09090909090909091,0.14522218995062444,2015,2025,58.723522,56.619236,56.510622818181815,-0.552444790909091,-2.104286000000002
CHL,Chile,False,11,23,0.7272727272727273,0.7209994251107572,2015,2025,88.035736,81.63268,84.90463972727274,-0.7579926454545458,-6.4030560000000065
CHN,China,False,11,15,0.6363636363636364,0.7092318853211032,2015,2025,93.9031,87.54564,90.98754054545454,-0.5597393818181813,-6.357459999999989
COL,Colombia,False,11,20,0.6363636363636364,0.6230295147287014,2015,2025,86.3993,81.39599,84.8102600909091,-0.29594818181818167,-5.003309999999999
CZE,Czechia,False,11,7,0.18181818181818182,0.2629912530368275,2015,2025,78.11987,70.19163,75.06452863636365,-0.8770973181818185,-7.928240000000002
